language,encoder,definition_gen_model,metric,space,spearman,timestamp,other
german,multilingual-e5,gemini25pro,prt,pca,0.491,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,apd,pca,0.368,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,amd,pca,0.644,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,amd_sym,pca,0.717,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,amd_opt_sym,pca,0.707,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,prt,def,-0.011,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,apd,def,0.665,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,amd,def,0.625,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,amd_sym,def,0.559,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,amd_opt_sym,def,0.519,2026-01-29 14:04:21,
german,mmbert,gemini25pro,prt,full,0.423,2026-01-29 14:04:26,
german,mmbert,gemini25pro,apd,full,0.367,2026-01-29 14:04:26,
german,mmbert,gemini25pro,amd,full,0.566,2026-01-29 14:04:26,
german,mmbert,gemini25pro,amd_sym,full,0.564,2026-01-29 14:04:26,
german,mmbert,gemini25pro,amd_opt_sym,full,0.585,2026-01-29 14:04:26,
german,mmbert,gemini25pro,prt,pca,0.113,2026-01-29 14:04:26,
german,mmbert,gemini25pro,apd,pca,0.43,2026-01-29 14:04:26,
german,mmbert,gemini25pro,amd,pca,0.585,2026-01-29 14:04:26,
german,mmbert,gemini25pro,amd_sym,pca,0.669,2026-01-29 14:04:26,
german,mmbert,gemini25pro,amd_opt_sym,pca,0.666,2026-01-29 14:04:26,
german,mmbert,gemini25pro,prt,def,0.77,2026-01-29 14:04:26,
german,mmbert,gemini25pro,apd,def,0.665,2026-01-29 14:04:26,
german,mmbert,gemini25pro,amd,def,0.672,2026-01-29 14:04:26,
german,mmbert,gemini25pro,amd_sym,def,0.449,2026-01-29 14:04:26,
german,mmbert,gemini25pro,amd_opt_sym,def,0.418,2026-01-29 14:04:26,
german,en,gemini25pro,prt,full,0.873,2026-01-29 14:04:32,
german,en,gemini25pro,apd,full,0.844,2026-01-29 14:04:32,
german,en,gemini25pro,amd,full,0.722,2026-01-29 14:04:32,
german,en,gemini25pro,amd_sym,full,0.878,2026-01-29 14:04:32,
german,en,gemini25pro,amd_opt_sym,full,0.872,2026-01-29 14:04:32,
german,en,gemini25pro,prt,pca,0.01,2026-01-29 14:04:32,
german,en,gemini25pro,apd,pca,0.652,2026-01-29 14:04:32,
german,en,gemini25pro,amd,pca,0.727,2026-01-29 14:04:32,
german,en,gemini25pro,amd_sym,pca,0.88,2026-01-29 14:04:32,
german,en,gemini25pro,amd_opt_sym,pca,0.879,2026-01-29 14:04:32,
german,en,gemini25pro,prt,def,0.811,2026-01-29 14:04:32,
german,en,gemini25pro,apd,def,0.833,2026-01-29 14:04:32,
german,en,gemini25pro,amd,def,0.805,2026-01-29 14:04:32,
german,en,gemini25pro,amd_sym,def,0.88,2026-01-29 14:04:32,
german,en,gemini25pro,amd_opt_sym,def,0.883,2026-01-29 14:04:32,
german,german_GBERT,gemini25pro,prt,full,0.63,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,apd,full,0.66,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,amd,full,0.707,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,amd_sym,full,0.767,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,amd_opt_sym,full,0.768,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,prt,pca,0.093,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,apd,pca,0.419,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,amd,pca,0.628,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,amd_sym,pca,0.741,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,amd_opt_sym,pca,0.739,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,prt,def,0.764,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,apd,def,0.764,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,amd,def,0.672,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,amd_sym,def,0.63,2026-01-29 14:04:38,
german,german_GBERT,gemini25pro,amd_opt_sym,def,0.634,2026-01-29 14:04:38,
swedish,xll,gemini25pro,prt,full,0.678,2026-01-29 14:04:47,
swedish,xll,gemini25pro,apd,full,0.756,2026-01-29 14:04:47,
swedish,xll,gemini25pro,amd,full,0.757,2026-01-29 14:04:47,
swedish,xll,gemini25pro,amd_sym,full,0.77,2026-01-29 14:04:47,
swedish,xll,gemini25pro,amd_opt_sym,full,0.769,2026-01-29 14:04:47,
swedish,xll,gemini25pro,prt,pca,0.069,2026-01-29 14:04:47,
swedish,xll,gemini25pro,apd,pca,0.118,2026-01-29 14:04:47,
swedish,xll,gemini25pro,amd,pca,0.665,2026-01-29 14:04:47,
swedish,xll,gemini25pro,amd_sym,pca,0.745,2026-01-29 14:04:47,
swedish,xll,gemini25pro,amd_opt_sym,pca,0.744,2026-01-29 14:04:47,
swedish,xll,gemini25pro,prt,def,0.651,2026-01-29 14:04:47,
swedish,xll,gemini25pro,apd,def,0.645,2026-01-29 14:04:47,
swedish,xll,gemini25pro,amd,def,0.723,2026-01-29 14:04:47,
swedish,xll,gemini25pro,amd_sym,def,0.686,2026-01-29 14:04:47,
swedish,xll,gemini25pro,amd_opt_sym,def,0.659,2026-01-29 14:04:47,
swedish,xlmr,gemini25pro,prt,full,-0.01,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,apd,full,0.49,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,amd,full,0.52,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,amd_sym,full,0.257,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,amd_opt_sym,full,0.285,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,prt,pca,-0.135,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,apd,pca,-0.253,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,amd,pca,0.485,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,amd_sym,pca,0.288,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,amd_opt_sym,pca,0.232,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,prt,def,0.303,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,apd,def,0.332,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,amd,def,0.403,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,amd_sym,def,0.0,2026-01-29 14:04:56,
swedish,xlmr,gemini25pro,amd_opt_sym,def,-0.071,2026-01-29 14:04:56,
swedish,rembert,gemini25pro,prt,full,0.23,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,apd,full,0.38,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,amd,full,0.426,2026-01-29 14:05:05,
