language,encoder,definition_gen_model,metric,space,spearman,timestamp,other
english,rembert,gemini25pro,hub_meanfanout_t1_wrt_t2,rand,2.13912934548146,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_topshare_t1_to_t2,rand,0.07037946339341268,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_antihubshare_t2_wrt_t1,rand,0.5542067918504483,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_meanfanout_t2_wrt_t1,rand,2.300332977965071,2026-01-30 17:30:49,hubness_mean_over_words
english,multilingual-e5,gemini25pro,prt,full,0.272,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,apd,full,0.324,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd,full,0.32,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd_sym,full,0.314,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd_opt_sym,full,0.317,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,prt,pca,0.298,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,apd,pca,0.053,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd,pca,0.473,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd_sym,pca,0.514,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd_opt_sym,pca,0.499,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,prt,def,0.09,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,apd,def,0.327,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd,def,0.272,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd_sym,def,0.243,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd_opt_sym,def,0.217,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,prt,rand,-0.064,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,apd,rand,0.083,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd,rand,0.357,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd_sym,rand,0.369,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,amd_opt_sym,rand,0.358,2026-01-30 17:30:54,
english,multilingual-e5,gemini25pro,hub_topshare_t2_to_t1,full,0.06821819983587515,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_antihubshare_t1_wrt_t2,full,0.5421992505787032,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_meanfanout_t1_wrt_t2,full,2.208827141168955,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_topshare_t1_to_t2,full,0.09221024530506881,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_antihubshare_t2_wrt_t1,full,0.6158942204246274,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_meanfanout_t2_wrt_t1,full,2.683201622318577,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_topshare_t2_to_t1,pca,0.07182945849715805,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_antihubshare_t1_wrt_t2,pca,0.5449132530682266,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_meanfanout_t1_wrt_t2,pca,2.2986304663323067,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_topshare_t1_to_t2,pca,0.07953103287916896,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_antihubshare_t2_wrt_t1,pca,0.5484078356153457,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_meanfanout_t2_wrt_t1,pca,2.350397322628949,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_topshare_t2_to_t1,def,0.1950577126660749,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_antihubshare_t1_wrt_t2,def,0.7492441527085405,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_meanfanout_t1_wrt_t2,def,4.2329914376542375,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_topshare_t1_to_t2,def,0.19220453269402488,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_antihubshare_t2_wrt_t1,def,0.7440594498152041,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_meanfanout_t2_wrt_t1,def,4.119260130701838,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_topshare_t2_to_t1,rand,0.04360615633638089,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_antihubshare_t1_wrt_t2,rand,0.4582456403269418,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_meanfanout_t1_wrt_t2,rand,1.8679794717479397,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_topshare_t1_to_t2,rand,0.0525509224519062,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_antihubshare_t2_wrt_t1,rand,0.4876293121189633,2026-01-30 17:30:54,hubness_mean_over_words
english,multilingual-e5,gemini25pro,hub_meanfanout_t2_wrt_t1,rand,1.975424750431164,2026-01-30 17:30:54,hubness_mean_over_words
english,mmbert,gemini25pro,prt,full,0.194,2026-01-30 17:31:00,
english,mmbert,gemini25pro,apd,full,0.531,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd,full,0.421,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd_sym,full,0.364,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd_opt_sym,full,0.374,2026-01-30 17:31:00,
english,mmbert,gemini25pro,prt,pca,0.069,2026-01-30 17:31:00,
english,mmbert,gemini25pro,apd,pca,-0.092,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd,pca,0.532,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd_sym,pca,0.499,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd_opt_sym,pca,0.513,2026-01-30 17:31:00,
english,mmbert,gemini25pro,prt,def,0.008,2026-01-30 17:31:00,
english,mmbert,gemini25pro,apd,def,0.163,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd,def,0.509,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd_sym,def,0.511,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd_opt_sym,def,0.511,2026-01-30 17:31:00,
english,mmbert,gemini25pro,prt,rand,0.233,2026-01-30 17:31:00,
english,mmbert,gemini25pro,apd,rand,0.014,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd,rand,0.382,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd_sym,rand,0.367,2026-01-30 17:31:00,
english,mmbert,gemini25pro,amd_opt_sym,rand,0.372,2026-01-30 17:31:00,
english,mmbert,gemini25pro,hub_topshare_t2_to_t1,full,0.1066258195755355,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_antihubshare_t1_wrt_t2,full,0.6534037163196296,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_meanfanout_t1_wrt_t2,full,2.950413607262276,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_topshare_t1_to_t2,full,0.1313417403851978,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_antihubshare_t2_wrt_t1,full,0.6575437318295896,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_meanfanout_t2_wrt_t1,full,2.9962202213905953,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_topshare_t2_to_t1,pca,0.09107533696445778,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_antihubshare_t1_wrt_t2,pca,0.6204689193220979,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_meanfanout_t1_wrt_t2,pca,2.731092150146897,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_topshare_t1_to_t2,pca,0.13937985807472275,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_antihubshare_t2_wrt_t1,pca,0.6187221478644809,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_meanfanout_t2_wrt_t1,pca,2.72126943356282,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_topshare_t2_to_t1,def,0.07229004383602075,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_antihubshare_t1_wrt_t2,def,0.5503787079705507,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_meanfanout_t1_wrt_t2,def,2.326424376384632,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_topshare_t1_to_t2,def,0.07400498612496158,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_antihubshare_t2_wrt_t1,def,0.5673256915554808,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_meanfanout_t2_wrt_t1,def,2.3987752038079337,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_topshare_t2_to_t1,rand,0.05514222032734913,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_antihubshare_t1_wrt_t2,rand,0.5232512523640396,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_meanfanout_t1_wrt_t2,rand,2.123527513967978,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_topshare_t1_to_t2,rand,0.06375147380547651,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_antihubshare_t2_wrt_t1,rand,0.5310374221962584,2026-01-30 17:31:00,hubness_mean_over_words
english,mmbert,gemini25pro,hub_meanfanout_t2_wrt_t1,rand,2.1609810494087838,2026-01-30 17:31:00,hubness_mean_over_words
english,roberta,gemini25pro,prt,full,0.139,2026-01-30 17:31:05,
english,roberta,gemini25pro,apd,full,0.389,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd,full,0.414,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd_sym,full,0.308,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd_opt_sym,full,0.355,2026-01-30 17:31:05,
english,roberta,gemini25pro,prt,pca,0.055,2026-01-30 17:31:05,
english,roberta,gemini25pro,apd,pca,-0.034,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd,pca,0.493,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd_sym,pca,0.432,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd_opt_sym,pca,0.409,2026-01-30 17:31:05,
english,roberta,gemini25pro,prt,def,0.262,2026-01-30 17:31:05,
english,roberta,gemini25pro,apd,def,0.444,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd,def,0.564,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd_sym,def,0.346,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd_opt_sym,def,0.313,2026-01-30 17:31:05,
english,roberta,gemini25pro,prt,rand,0.059,2026-01-30 17:31:05,
english,roberta,gemini25pro,apd,rand,-0.046,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd,rand,0.363,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd_sym,rand,0.362,2026-01-30 17:31:05,
english,roberta,gemini25pro,amd_opt_sym,rand,0.363,2026-01-30 17:31:05,
english,roberta,gemini25pro,hub_topshare_t2_to_t1,full,0.1407695244870612,2026-01-30 17:31:05,hubness_mean_over_words
english,roberta,gemini25pro,hub_antihubshare_t1_wrt_t2,full,0.7072431369012366,2026-01-30 17:31:05,hubness_mean_over_words
english,roberta,gemini25pro,hub_meanfanout_t1_wrt_t2,full,3.5165394061320536,2026-01-30 17:31:05,hubness_mean_over_words
english,roberta,gemini25pro,hub_topshare_t1_to_t2,full,0.15711317954066753,2026-01-30 17:31:05,hubness_mean_over_words
english,roberta,gemini25pro,hub_antihubshare_t2_wrt_t1,full,0.7143206337412437,2026-01-30 17:31:05,hubness_mean_over_words
english,roberta,gemini25pro,hub_meanfanout_t2_wrt_t1,full,3.6247589459290377,2026-01-30 17:31:05,hubness_mean_over_words
english,roberta,gemini25pro,hub_topshare_t2_to_t1,pca,0.10874173154962744,2026-01-30 17:31:05,hubness_mean_over_words
english,roberta,gemini25pro,hub_antihubshare_t1_wrt_t2,pca,0.6613833136192483,2026-01-30 17:31:05,hubness_mean_over_words
english,roberta,gemini25pro,hub_meanfanout_t1_wrt_t2,pca,3.0735599156972526,2026-01-30 17:31:05,hubness_mean_over_words
english,roberta,gemini25pro,hub_topshare_t1_to_t2,pca,0.17418285411814777,2026-01-30 17:31:05,hubness_mean_over_words
english,roberta,gemini25pro,hub_antihubshare_t2_wrt_t1,pca,0.6561088105819822,2026-01-30 17:31:05,hubness_mean_over_words
